species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Portulaca oleracea,Portulaca,Portulacaceae,,,yes,yes,Portulaca oleracea L.,Portulaca oleracea,L.,Portulacaceae,Portulaca,Portulacaceae,Portulaca,Accepted,Portulaca oleracea,Portulaca oleracea L.,Portulaca_oleracea,Portulaca_oleracea,Angiosperms
Prosopis juliflora,Prosopis,Fabaceae,,,yes,yes,Prosopis juliflora (Sw.) DC.,Prosopis juliflora,(Sw.) DC.,Fabaceae,Prosopis,Leguminosae,Prosopis,Accepted,Prosopis juliflora,Prosopis juliflora (Sw.) DC.,Prosopis_juliflora,Prosopis_juliflora,Angiosperms
Pueraria montana,Pueraria,Fabaceae,,,yes,yes,Pueraria montana (Lour.) Merr.,Pueraria montana,(Lour.) Merr.,Fabaceae,Pueraria,Leguminosae,Pueraria,Accepted,Pueraria montana,Pueraria montana (Lour.) Merr.,Pueraria_montana,Pueraria_montana,Angiosperms
Ruellia tuberosa,Ruellia,Acanthaceae,,,yes,yes,Ruellia tuberosa L.,Ruellia tuberosa,L.,Acanthaceae,Ruellia,Acanthaceae,Ruellia,Accepted,Ruellia tuberosa,Ruellia tuberosa L.,Ruellia_tuberosa,Ruellia_tuberosa,Angiosperms
Salix cinerea,Salix,Salicaceae,,,yes,yes,Salix cinerea L.,Salix cinerea,L.,Salicaceae,Salix,Salicaceae,Salix,Accepted,Salix cinerea,Salix cinerea L.,Salix_cinerea,Salix_cinerea,Angiosperms
Senna alata,Senna,Fabaceae,,,yes,yes,Senna alata (L.) Roxb.,Senna alata,(L.) Roxb.,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna alata,Senna alata (L.) Roxb.,Senna_alata,Senna_alata,Angiosperms
Senna hirsuta,Senna,Fabaceae,,,yes,yes,Senna hirsuta (L.) H.S.Irwin & Barneby,Senna hirsuta,(L.) H.S.Irwin & Barneby,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna hirsuta,Senna hirsuta (L.) H.S.Irwin & Barneby,Senna_hirsuta,Senna_hirsuta,Angiosperms
Senna spectabilis,Senna,Fabaceae,,,yes,yes,Senna spectabilis (DC.) H.S.Irwin & Barneby,Senna spectabilis,(DC.) H.S.Irwin & Barneby,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna spectabilis,Senna spectabilis (DC.) H.S.Irwin & Barneby,Senna_spectabilis,Senna_spectabilis,Angiosperms
Senna tora,Senna,Fabaceae,,,yes,yes,Senna tora (L.) Roxb.,Senna tora,(L.) Roxb.,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna tora,Senna tora (L.) Roxb.,Senna_tora,Senna_tora,Angiosperms
Senna uniflora,Senna,Fabaceae,,,yes,yes,Senna uniflora (Mill.) H.S.Irwin & Barneby,Senna uniflora,(Mill.) H.S.Irwin & Barneby,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna uniflora,Senna uniflora (Mill.) H.S.Irwin & Barneby,Senna_uniflora,Senna_uniflora,Angiosperms
Sesamum radiatum,Sesamum,Pedaliaceae,,,yes,yes,Sesamum radiatum Schum. & Thonn.,Sesamum radiatum,Schum. & Thonn.,Pedaliaceae,Sesamum,Pedaliaceae,Sesamum,Accepted,Sesamum radiatum,Sesamum radiatum Schumach. & Thonn.,Sesamum_radiatum,Sesamum_radiatum,Angiosperms
Sieruela monophylla,Sieruela,Cleomaceae,,,yes,yes,Sieruela monophylla (L.) Roalson & J.C.Hall,Sieruela monophylla,(L.) Roalson & J.C.Hall,Cleomaceae,Sieruela,NA,NA,NA,Sieruela monophylla,Sieruela monophylla,Sieruela_monophylla,Sieruela_monophylla,Angiosperms
Solanum glaucophyllum,Solanum,Solanaceae,,,yes,yes,Solanum glaucophyllum Desf.,Solanum glaucophyllum,Desf.,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum glaucophyllum,Solanum glaucophyllum Desf.,Solanum_glaucophyllum,Solanum_glaucophyllum,Angiosperms
Solanum mauritianum,Solanum,Solanaceae,,,yes,yes,Solanum mauritianum Scop.,Solanum mauritianum,Scop.,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum mauritianum,Solanum mauritianum Scop.,Solanum_mauritianum,Solanum_mauritianum,Angiosperms
Solanum myriacanthum,Solanum,Solanaceae,,,yes,yes,Solanum myriacanthum Dunal,Solanum myriacanthum,Dunal,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum myriacanthum,Solanum myriacanthum Dunal,Solanum_myriacanthum,Solanum_myriacanthum,Angiosperms
Solanum seaforthianum,Solanum,Solanaceae,,,yes,yes,Solanum seaforthianum Andrews,Solanum seaforthianum,Andrews,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum seaforthianum,Solanum seaforthianum Andrews,Solanum_seaforthianum,Solanum_seaforthianum,Angiosperms
Solanum viarum,Solanum,Solanaceae,,,yes,yes,Solanum viarum Dunal,Solanum viarum,Dunal,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum viarum,Solanum viarum Dunal,Solanum_viarum,Solanum_viarum,Angiosperms
Sonchus oleraceus,Sonchus,Asteraceae,,,yes,yes,Sonchus oleraceus L.,Sonchus oleraceus,L.,Asteraceae,Sonchus,Compositae,Sonchus,Accepted,Sonchus oleraceus,Sonchus oleraceus (L.) L.,Sonchus_oleraceus,Sonchus_oleraceus,Angiosperms
Sonchus wightianus,Sonchus,Asteraceae,,,yes,yes,Sonchus wightianus DC.,Sonchus wightianus,DC.,Asteraceae,Sonchus,Compositae,Sonchus,Accepted,Sonchus wightianus,Sonchus wightianus DC.,Sonchus_wightianus,Sonchus_wightianus,Angiosperms
Spergula arvensis,Spergula,Caryophyllaceae,,,yes,yes,Spergula arvensis L.,Spergula arvensis,L.,Caryophyllaceae,Spergula,Caryophyllaceae,Spergula,Accepted,Spergula arvensis,Spergula arvensis L.,Spergula_arvensis,Spergula_arvensis,Angiosperms
Spermacoce pusilla,Spermacoce,Rubiaceae,,,yes,yes,Spermacoce pusilla Wall.,Spermacoce pusilla,Wall.,Rubiaceae,Spermacoce,Rubiaceae,Spermacoce,Accepted,Spermacoce pusilla,Spermacoce pusilla Wall.,Spermacoce_pusilla,Spermacoce_pusilla,Angiosperms
Stachytarpheta cayennensis,Stachytarpheta,Verbenaceae,,,yes,yes,Stachytarpheta cayennensis (Rich.) Vahl,Stachytarpheta cayennensis,(Rich.) Vahl,Verbenaceae,Stachytarpheta,Verbenaceae,Stachytarpheta,Accepted,Stachytarpheta cayennensis,Stachytarpheta cayennensis (Rich.) Vahl,Stachytarpheta_cayennensis,Stachytarpheta_cayennensis,Angiosperms
Stylosanthes hamata,Stylosanthes,Fabaceae,,,yes,yes,Stylosanthes hamata (L.) Taub.,Stylosanthes hamata,(L.) Taub.,Fabaceae,Stylosanthes,Leguminosae,Stylosanthes,Accepted,Stylosanthes hamata,Stylosanthes hamata (L.) Taub.,Stylosanthes_hamata,Stylosanthes_hamata,Angiosperms
Tecoma stans,Tecoma,Bignoniaceae,,,yes,yes,Tecoma stans (L.) Juss. ex Kunth,Tecoma stans,(L.) Juss. ex Kunth,Bignoniaceae,Tecoma,Bignoniaceae,Tecoma,Accepted,Tecoma stans,Tecoma stans (L.) Juss. ex Kunth,Tecoma_stans,Tecoma_stans,Angiosperms
Torenia fournieri,Torenia,Linderniaceae,,,yes,yes,Torenia fournieri Linden ex E.Fourn.,Torenia fournieri,Linden ex E.Fourn.,Linderniaceae,Torenia,Linderniaceae,Torenia,Accepted,Torenia fournieri,Torenia fournieri Linden ex E. Fourn.,Torenia_fournieri,Torenia_fournieri,Angiosperms
Triadica sebifera,Triadica,Euphorbiaceae,,,yes,yes,Triadica sebifera (L.) Small,Triadica sebifera,(L.) Small,Euphorbiaceae,Triadica,Euphorbiaceae,Triadica,Accepted,Triadica sebifera,Triadica sebifera (L.) Small,Triadica_sebifera,Triadica_sebifera,Angiosperms
Tribulus terrestris,Tribulus,Zygophyllaceae,,,yes,yes,Tribulus terrestris L.,Tribulus terrestris,L.,Zygophyllaceae,Tribulus,Zygophyllaceae,Tribulus,Accepted,Tribulus terrestris,Tribulus terrestris L.,Tribulus_terrestris,Tribulus_terrestris,Angiosperms
Triumfetta rhomboidea,Triumfetta,Malvaceae,,,yes,yes,Triumfetta rhomboidea Jacq.,Triumfetta rhomboidea,Jacq.,Malvaceae,Triumfetta,Malvaceae,Triumfetta,Accepted,Triumfetta rhomboidea,Triumfetta rhomboidea Jacq.,Triumfetta_rhomboidea,Triumfetta_rhomboidea,Angiosperms
Turnera subulata,Turnera,Turneraceae,,,yes,yes,Turnera subulata J.E.Sm.,Turnera subulata,J.E.Sm.,Turneraceae,Turnera,Passifloraceae,Turnera,Accepted,Turnera subulata,Turnera subulata Sm.,Turnera_subulata,Turnera_subulata,Angiosperms
Turnera ulmifolia,Turnera,Turneraceae,,,yes,yes,Turnera ulmifolia L.,Turnera ulmifolia,L.,Turneraceae,Turnera,Passifloraceae,Turnera,Accepted,Turnera ulmifolia,Turnera ulmifolia L.,Turnera_ulmifolia,Turnera_ulmifolia,Angiosperms
Typha angustifolia,Typha,Typhaceae,,,yes,yes,Typha angustifolia L.,Typha angustifolia,L.,Typhaceae,Typha,Typhaceae,Typha,Accepted,Typha angustifolia,Typha angustifolia L.,Typha_angustifolia,Typha_angustifolia,Angiosperms
Ulex europaeus,Ulex,Fabaceae,,,yes,yes,Ulex europaeus L.,Ulex europaeus,L.,Fabaceae,Ulex,Leguminosae,Ulex,Accepted,Ulex europaeus,Ulex europaeus L.,Ulex_europaeus,Ulex_europaeus,Angiosperms
Urena lobata,Urena,Malvaceae,,,yes,yes,Urena lobata L.,Urena lobata,L.,Malvaceae,Urena,Malvaceae,Urena,Accepted,Urena lobata,Urena lobata L.,Urena_lobata,Urena_lobata,Angiosperms
Verbesina encelioides,Verbesina,Asteraceae,,,yes,yes,Verbesina encelioides (Cav.) Benth. & Hook.fil. ex A.Gray,Verbesina encelioides,(Cav.) Benth. & Hook.fil. ex A.Gray,Asteraceae,Verbesina,Compositae,Verbesina,Accepted,Verbesina encelioides,Verbesina encelioides (Cav.) Benth. & Hook.f. ex A.Gray,Verbesina_encelioides,Verbesina_encelioides,Angiosperms
Youngia japonica,Youngia,Asteraceae,,,yes,yes,Youngia japonica (L.) DC.,Youngia japonica,(L.) DC.,Asteraceae,Youngia,Compositae,Youngia,Accepted,Youngia japonica,Youngia japonica (L.) DC.,Youngia_japonica,Youngia_japonica,Angiosperms
Acacia confusa,Acacia,Fabaceae,,,yes,yes,Acacia confusa Merr.,Acacia confusa,Merr.,Fabaceae,Acacia,Leguminosae,Acacia,Accepted,Acacia confusa,Acacia confusa Merr.,Acacia_confusa,Acacia_confusa,Angiosperms
Adenanthera pavonina,Adenanthera,Fabaceae,,,yes,yes,Adenanthera pavonina L.,Adenanthera pavonina,L.,Fabaceae,Adenanthera,Leguminosae,Adenanthera,Accepted,Adenanthera pavonina,Adenanthera pavonina L.,Adenanthera_pavonina,Adenanthera_pavonina,Angiosperms
Arenga obtusifolia,Arenga,Arecaceae,,,yes,yes,Arenga obtusifolia Mart.,Arenga obtusifolia,Mart.,Arecaceae,Arenga,Arecaceae,Arenga,Accepted,Arenga obtusifolia,Arenga obtusifolia Mart.,Arenga_obtusifolia,Arenga_obtusifolia,Angiosperms
Artemisia vulgaris,Artemisia,Asteraceae,,,yes,yes,Artemisia vulgaris L.,Artemisia vulgaris,L.,Asteraceae,Artemisia,Compositae,Artemisia,Accepted,Artemisia vulgaris,Artemisia vulgaris L.,Artemisia_vulgaris,Artemisia_vulgaris,Angiosperms
Asystasia gangetica,Asystasia,Acanthaceae,,,yes,yes,Asystasia gangetica (L.) T.Anderson,Asystasia gangetica,(L.) T.Anderson,Acanthaceae,Asystasia,Acanthaceae,Asystasia,Accepted,Asystasia gangetica,Asystasia gangetica (L.) T.Anderson,Asystasia_gangetica,Asystasia_gangetica,Angiosperms
Austroeupatorium inulifolium,Austroeupatorium,Asteraceae,,,yes,yes,Austroeupatorium inulifolium (Kunth) R.King & H.Rob.,Austroeupatorium inulifolium,(Kunth) R.King & H.Rob.,Asteraceae,Austroeupatorium,NA,NA,NA,Austroeupatorium inulifolium,Austroeupatorium inulifolium,Austroeupatorium_inulifolium,Austroeupatorium_inulifolium,Angiosperms
Azolla pinnata,Azolla,Salviniaceae,,,yes,yes,Azolla pinnata R.Br.,Azolla pinnata,R.Br.,Salviniaceae,Azolla,Salviniaceae,Azolla,Accepted,Azolla pinnata,Azolla pinnata R. Br.,Azolla_pinnata,Azolla_pinnata,Pteridophytes
Bartlettina sordida,Bartlettina,Asteraceae,,,yes,yes,Bartlettina sordida (Less.) R.King & H.Rob.,Bartlettina sordida,(Less.) R.King & H.Rob.,Asteraceae,Bartlettina,Compositae,Bartlettina,Accepted,Bartlettina sordida,Bartlettina sordida (Less.) R.M.King & H.Rob.,Bartlettina_sordida,Bartlettina_sordida,Angiosperms
Bauhinia purpurea,Bauhinia,Fabaceae,,,yes,yes,Bauhinia purpurea L.,Bauhinia purpurea,L.,Fabaceae,Bauhinia,Leguminosae,Bauhinia,Accepted,Bauhinia purpurea,Bauhinia purpurea L.,Bauhinia_purpurea,Bauhinia_purpurea,Angiosperms
Bellucia pentamera,Bellucia,Melastomataceae,,,yes,yes,Bellucia pentamera Naudin,Bellucia pentamera,Naudin,Melastomataceae,Bellucia,Melastomataceae,Bellucia,Accepted,Bellucia pentamera,Bellucia pentamera Naudin,Bellucia_pentamera,Bellucia_pentamera,Angiosperms
Blyxa echinosperma,Blyxa,Hydrocharitaceae,,,yes,yes,Blyxa echinosperma (C.B.Clarke) Hook.f.,Blyxa echinosperma,(C.B.Clarke) Hook.f.,Hydrocharitaceae,Blyxa,Hydrocharitaceae,Blyxa,Accepted,Blyxa echinosperma,Blyxa echinosperma (C.B.Clarke) Hook.f.,Blyxa_echinosperma,Blyxa_echinosperma,Angiosperms
Brugmansia arborea,Brugmansia,Solanaceae,,,yes,yes,Brugmansia arborea (L.) Steud.,Brugmansia arborea,(L.) Steud.,Solanaceae,Brugmansia,Solanaceae,Brugmansia,Accepted,Brugmansia arborea,Brugmansia arborea (L.) Steud.,Brugmansia_arborea,Brugmansia_arborea,Angiosperms
Calliandra houstoniana,Calliandra,Fabaceae,,,yes,yes,Calliandra houstoniana (Mill.) Standl.,Calliandra houstoniana,(Mill.) Standl.,Fabaceae,Calliandra,Leguminosae,Calliandra,Accepted,Calliandra houstoniana,Calliandra houstoniana (Mill.) Standl.,Calliandra_houstoniana,Calliandra_houstoniana,Angiosperms
Carex lyngbyei,Carex,Cyperaceae,,,yes,yes,Carex lyngbyei Hornem.,Carex lyngbyei,Hornem.,Cyperaceae,Carex,Cyperaceae,Carex,Accepted,Carex lyngbyei,Carex lyngbyei Hornem.,Carex_lyngbyei,Carex_lyngbyei,Angiosperms
Cecropia peltata,Cecropia,Urticaceae,,,yes,yes,Cecropia peltata L.,Cecropia peltata,L.,Urticaceae,Cecropia,Urticaceae,Cecropia,Accepted,Cecropia peltata,Cecropia peltata L.,Cecropia_peltata,Cecropia_peltata,Angiosperms
Centrosema pubescens,Centrosema,Fabaceae,,,yes,yes,Centrosema pubescens Benth.,Centrosema pubescens,Benth.,Fabaceae,Centrosema,Leguminosae,Centrosema,Accepted,Centrosema pubescens,Centrosema pubescens Benth.,Centrosema_pubescens,Centrosema_pubescens,Angiosperms
Cerastium glomeratum,Cerastium,Caryophyllaceae,,,yes,yes,Cerastium glomeratum Thuill.,Cerastium glomeratum,Thuill.,Caryophyllaceae,Cerastium,Caryophyllaceae,Cerastium,Accepted,Cerastium glomeratum,Cerastium glomeratum Thuill.,Cerastium_glomeratum,Cerastium_glomeratum,Angiosperms
Chimonobambusa quadrangularis,Chimonobambusa,Poaceae,,,yes,yes,Chimonobambusa quadrangularis (Franceschi) Makino,Chimonobambusa quadrangularis,(Franceschi) Makino,Poaceae,Chimonobambusa,Poaceae,Chimonobambusa,Accepted,Chimonobambusa quadrangularis,Chimonobambusa quadrangularis (Fenzl) Makino,Chimonobambusa_quadrangularis,Chimonobambusa_quadrangularis,Angiosperms
Cinchona pubescens,Cinchona,Rubiaceae,,,yes,yes,Cinchona pubescens Vahl,Cinchona pubescens,Vahl,Rubiaceae,Cinchona,Rubiaceae,Cinchona,Accepted,Cinchona pubescens,Cinchona pubescens Vahl,Cinchona_pubescens,Cinchona_pubescens,Angiosperms
Cissus quadrangularis,Cissus,Vitaceae,,,yes,yes,Cissus quadrangularis L.,Cissus quadrangularis,L.,Vitaceae,Cissus,Vitaceae,Cissus,Accepted,Cissus quadrangularis,Cissus quadrangularis L.,Cissus_quadrangularis,Cissus_quadrangularis,Angiosperms
Clibadium surinamense,Clibadium,Asteraceae,,,yes,yes,Clibadium surinamense L.,Clibadium surinamense,L.,Asteraceae,Clibadium,Compositae,Clibadium,Accepted,Clibadium surinamense,Clibadium surinamense L.,Clibadium_surinamense,Clibadium_surinamense,Angiosperms
Cuphea ignea,Cuphea,Lythraceae,,,yes,yes,Cuphea ignea A.DC.,Cuphea ignea,A.DC.,Lythraceae,Cuphea,Lythraceae,Cuphea,Accepted,Cuphea ignea,Cuphea ignea A.DC.,Cuphea_ignea,Cuphea_ignea,Angiosperms
Elephantopus mollis,Elephantopus,Asteraceae,,,yes,yes,Elephantopus mollis Kunth,Elephantopus mollis,Kunth,Asteraceae,Elephantopus,Compositae,Elephantopus,Accepted,Elephantopus mollis,Elephantopus mollis Kunth,Elephantopus_mollis,Elephantopus_mollis,Angiosperms
Elephantopus scaber,Elephantopus,Asteraceae,,,yes,yes,Elephantopus scaber L.,Elephantopus scaber,L.,Asteraceae,Elephantopus,Compositae,Elephantopus,Accepted,Elephantopus scaber,Elephantopus scaber L.,Elephantopus_scaber,Elephantopus_scaber,Angiosperms
Eleutheranthera ruderalis,Eleutheranthera,Asteraceae,,,yes,yes,Eleutheranthera ruderalis (Sw.) Sch.Bip.,Eleutheranthera ruderalis,(Sw.) Sch.Bip.,Asteraceae,Eleutheranthera,Compositae,Eleutheranthera,Accepted,Eleutheranthera ruderalis,Eleutheranthera ruderalis (Sw.) Sch.Bip.,Eleutheranthera_ruderalis,Eleutheranthera_ruderalis,Angiosperms
Erechtites hieraciifolia,Erechtites,Asteraceae,,,yes,yes,Erechtites hieraciifolia (L.) Raf. ex DC.,Erechtites hieraciifolia,(L.) Raf. ex DC.,Asteraceae,Erechtites,Compositae,Erechtites,Accepted,Erechtites hieraciifolia,Erechtites hieraciifolia (L.) Raf. ex DC.,Erechtites_hieraciifolia,Erechtites_hieraciifolia,Angiosperms
Erigeron sumatrensis,Erigeron,Asteraceae,,,yes,yes,Erigeron sumatrensis Retz.,Erigeron sumatrensis,Retz.,Asteraceae,Erigeron,Compositae,Erigeron,Accepted,Erigeron sumatrensis,Erigeron sumatrensis Retz.,Erigeron_sumatrensis,Erigeron_sumatrensis,Angiosperms
Foeniculum vulgare,Foeniculum,Apiaceae,,,yes,yes,Foeniculum vulgare Mill.,Foeniculum vulgare,Mill.,Apiaceae,Foeniculum,Apiaceae,Foeniculum,Accepted,Foeniculum vulgare,Foeniculum vulgare Mill.,Foeniculum_vulgare,Foeniculum_vulgare,Angiosperms
Fuchsia magellanica,Fuchsia,Onagraceae,,,yes,yes,Fuchsia magellanica Lam.,Fuchsia magellanica,Lam.,Onagraceae,Fuchsia,Onagraceae,Fuchsia,Accepted,Fuchsia magellanica,Fuchsia magellanica Lam.,Fuchsia_magellanica,Fuchsia_magellanica,Angiosperms
Goeppertia lietzei,Goeppertia,Marantaceae,,,yes,yes,Goeppertia lietzei (<a8><a6>.Morren) Saka,Goeppertia lietzei,(<a8><a6>.Morren) Saka,Marantaceae,Goeppertia,NA,NA,NA,Goeppertia lietzei,Goeppertia lietzei,Goeppertia_lietzei,Goeppertia_lietzei,Angiosperms
Hiptage benghalensis,Hiptage,Malpighiaceae,,,yes,yes,Hiptage benghalensis (L.) Kurz,Hiptage benghalensis,(L.) Kurz,Malpighiaceae,Hiptage,Malpighiaceae,Hiptage,Accepted,Hiptage benghalensis,Hiptage benghalensis (L.) Kurz,Hiptage_benghalensis,Hiptage_benghalensis,Angiosperms
Hydrilla verticillata,Hydrilla,Hydrocharitaceae,,,yes,yes,Hydrilla verticillata (L.f.) Royle,Hydrilla verticillata,(L.f.) Royle,Hydrocharitaceae,Hydrilla,Hydrocharitaceae,Hydrilla,Accepted,Hydrilla verticillata,Hydrilla verticillata (L.f.) Royle,Hydrilla_verticillata,Hydrilla_verticillata,Angiosperms
Jatropha curcas,Jatropha,Euphorbiaceae,,,yes,yes,Jatropha curcas L.,Jatropha curcas,L.,Euphorbiaceae,Jatropha,Euphorbiaceae,Jatropha,Accepted,Jatropha curcas,Jatropha curcas L.,Jatropha_curcas,Jatropha_curcas,Angiosperms
Ligustrum robustum,Ligustrum,Oleaceae,,,yes,yes,Ligustrum robustum (Roxb.) Blume,Ligustrum robustum,(Roxb.) Blume,Oleaceae,Ligustrum,Oleaceae,Ligustrum,Accepted,Ligustrum robustum,Ligustrum robustum (Roxb.) Blume,Ligustrum_robustum,Ligustrum_robustum,Angiosperms
Marsilea crenata,Marsilea,Marsileaceae,,,yes,yes,Marsilea crenata C.Presl,Marsilea crenata,C.Presl,Marsileaceae,Marsilea,Marsileaceae,Marsilea,Accepted,Marsilea crenata,Marsilea crenata C. Presl,Marsilea_crenata,Marsilea_crenata,Pteridophytes
Melastoma malabathricum,Melastoma,Melastomataceae,,,yes,yes,Melastoma malabathricum L.,Melastoma malabathricum,L.,Melastomataceae,Melastoma,Melastomataceae,Melastoma,Accepted,Melastoma malabathricum,Melastoma malabathricum L.,Melastoma_malabathricum,Melastoma_malabathricum,Angiosperms
Miconia calvescens,Miconia,Melastomataceae,,,yes,yes,Miconia calvescens DC.,Miconia calvescens,DC.,Melastomataceae,Miconia,Melastomataceae,Miconia,Accepted,Miconia calvescens,Miconia calvescens DC.,Miconia_calvescens,Miconia_calvescens,Angiosperms
Millingtonia hortensis,Millingtonia,Bignoniaceae,,,yes,yes,Millingtonia hortensis L.fil.,Millingtonia hortensis,L.fil.,Bignoniaceae,Millingtonia,Bignoniaceae,Millingtonia,Accepted,Millingtonia hortensis,Millingtonia hortensis L.f.,Millingtonia_hortensis,Millingtonia_hortensis,Angiosperms
