species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Passiflora ligularis,Passiflora,Passifloraceae,,,yes,yes,Passiflora ligularis A.Juss.,Passiflora ligularis,A.Juss.,Passifloraceae,Passiflora,Passifloraceae,Passiflora,Accepted,Passiflora ligularis,Passiflora ligularis Juss.,Passiflora_ligularis,Passiflora_ligularis,Angiosperms
Persicaria barbata,Persicaria,Polygonaceae,,,yes,yes,Persicaria barbata (L.) H.Hara,Persicaria barbata,(L.) H.Hara,Polygonaceae,Persicaria,Polygonaceae,Persicaria,Accepted,Persicaria barbata,Persicaria barbata (L.) H.Hara,Persicaria_barbata,Persicaria_barbata,Angiosperms
Phragmites karka,Phragmites,Poaceae,,,yes,yes,Phragmites karka (Retz.) Trin. ex Steud.,Phragmites karka,(Retz.) Trin. ex Steud.,Poaceae,Phragmites,Poaceae,Phragmites,Accepted,Phragmites karka,Phragmites karka (Retz.) Trin. ex Steud.,Phragmites_karka,Phragmites_karka,Angiosperms
Pinus merkusii,Pinus,Pinaceae,,,yes,yes,Pinus merkusii Jungh. & de Vriese,Pinus merkusii,Jungh. & de Vriese,Pinaceae,Pinus,Pinaceae,Pinus,Accepted,Pinus merkusii,Pinus merkusii Jungh. & de Vriese,Pinus_merkusii,Pinus_merkusii,Gymnosperms
Piper aduncum,Piper,Piperaceae,,,yes,yes,Piper aduncum L.,Piper aduncum,L.,Piperaceae,Piper,Piperaceae,Piper,Accepted,Piper aduncum,Piper aduncum L.,Piper_aduncum,Piper_aduncum,Angiosperms
Plantago major,Plantago,Plantaginaceae,,,yes,yes,Plantago major L.,Plantago major,L.,Plantaginaceae,Plantago,Plantaginaceae,Plantago,Accepted,Plantago major,Plantago major L.,Plantago_major,Plantago_major,Angiosperms
Podachaenium eminens,Podachaenium,Asteraceae,,,yes,yes,Podachaenium eminens (Lag.) Sch.Bip. ex Baill.,Podachaenium eminens,(Lag.) Sch.Bip. ex Baill.,Asteraceae,Podachaenium,Compositae,Podachaenium,Accepted,Podachaenium eminens,Podachaenium eminens (Lag.) Sch.Bip. ex Sch.Bip.,Podachaenium_eminens,Podachaenium_eminens,Angiosperms
Pontederia hastata,Pontederia,Pontederiaceae,Monochoria hastata,Monochoria,yes,yes,Pontederia hastata L.,Pontederia hastata,L.,Pontederiaceae,Pontederia,Pontederiaceae,Monochoria,Accepted,Monochoria hastata,Monochoria hastata (L.) Solms,Monochoria_hastata,Pontederia_hastata,Angiosperms
Rhodomyrtus tomentosa,Rhodomyrtus,Myrtaceae,,,yes,yes,Rhodomyrtus tomentosa (Aiton) Hassk.,Rhodomyrtus tomentosa,(Aiton) Hassk.,Myrtaceae,Rhodomyrtus,Myrtaceae,Rhodomyrtus,Accepted,Rhodomyrtus tomentosa,Rhodomyrtus tomentosa (Aiton) Hassk.,Rhodomyrtus_tomentosa,Rhodomyrtus_tomentosa,Angiosperms
Rhynchospora colorata,Rhynchospora,Cyperaceae,,,yes,yes,Rhynchospora colorata (L.) H.Pfeiff.,Rhynchospora colorata,(L.) H.Pfeiff.,Cyperaceae,Rhynchospora,Cyperaceae,Rhynchospora,Accepted,Rhynchospora colorata,Rhynchospora colorata (L.) H.Pfeiff.,Rhynchospora_colorata,Rhynchospora_colorata,Angiosperms
Rivina humilis,Rivina,Phytolaccaceae,,,yes,yes,Rivina humilis L.,Rivina humilis,L.,Phytolaccaceae,Rivina,Phytolaccaceae,Rivina,Accepted,Rivina humilis,Rivina humilis L.,Rivina_humilis,Rivina_humilis,Angiosperms
Rottboellia cochinchinensis,Rottboellia,Poaceae,,,yes,yes,Rottboellia cochinchinensis (Lour.) Clayton,Rottboellia cochinchinensis,(Lour.) Clayton,Poaceae,Rottboellia,Poaceae,Rottboellia,Accepted,Rottboellia cochinchinensis,Rottboellia cochinchinensis (Lour.) Clayton,Rottboellia_cochinchinensis,Rottboellia_cochinchinensis,Angiosperms
Rubus ellipticus,Rubus,Rosaceae,,,yes,yes,Rubus ellipticus Sm.,Rubus ellipticus,Sm.,Rosaceae,Rubus,Rosaceae,Rubus,Accepted,Rubus ellipticus,Rubus ellipticus Sm.,Rubus_ellipticus,Rubus_ellipticus,Angiosperms
Salvinia cucullata,Salvinia,Salviniaceae,,,yes,yes,Salvinia cucullata Roxb. ex Bory,Salvinia cucullata,Roxb. ex Bory,Salviniaceae,Salvinia,Salviniaceae,Salvinia,Unresolved,Salvinia cucullata,Salvinia cucullata Roxb.,Salvinia_cucullata,Salvinia_cucullata,Pteridophytes
Salvinia natans,Salvinia,Salviniaceae,,,yes,yes,Salvinia natans (L.) All.,Salvinia natans,(L.) All.,Salviniaceae,Salvinia,Salviniaceae,Salvinia,Accepted,Salvinia natans,Salvinia natans (L.) All.,Salvinia_natans,Salvinia_natans,Pteridophytes
Senna bicapsularis,Senna,Fabaceae,,,yes,yes,Senna bicapsularis (L.) Roxb.,Senna bicapsularis,(L.) Roxb.,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna bicapsularis,Senna bicapsularis (L.) Roxb.,Senna_bicapsularis,Senna_bicapsularis,Angiosperms
Senna pendula,Senna,Fabaceae,,,yes,yes,Senna pendula (Humb. & Bonpl. ex Willd.) H.S.Irwin & Barneby,Senna pendula,(Humb. & Bonpl. ex Willd.) H.S.Irwin & Barneby,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna pendula,Senna pendula (Willd.) H.S.Irwin & Barneby,Senna_pendula,Senna_pendula,Angiosperms
Senna siamea,Senna,Fabaceae,,,yes,yes,Senna siamea (Lam.) H.S.Irwin & Barneby,Senna siamea,(Lam.) H.S.Irwin & Barneby,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna siamea,Senna siamea (Lam.) H.S.Irwin & Barneby,Senna_siamea,Senna_siamea,Angiosperms
Sida rhombifolia,Sida,Malvaceae,,,yes,yes,Sida rhombifolia L.,Sida rhombifolia,L.,Malvaceae,Sida,Malvaceae,Sida,Accepted,Sida rhombifolia,Sida rhombifolia L.,Sida_rhombifolia,Sida_rhombifolia,Angiosperms
Solanum giganteum,Solanum,Solanaceae,,,yes,yes,Solanum giganteum Jacq.,Solanum giganteum,Jacq.,Solanaceae,Solanum,Solanaceae,Solanum,Accepted,Solanum giganteum,Solanum giganteum Jacq.,Solanum_giganteum,Solanum_giganteum,Angiosperms
Sonchus asper,Sonchus,Asteraceae,,,yes,yes,Sonchus asper (L.) Hill,Sonchus asper,(L.) Hill,Asteraceae,Sonchus,Compositae,Sonchus,Accepted,Sonchus asper,Sonchus asper (L.) Hill,Sonchus_asper,Sonchus_asper,Angiosperms
Spermacoce laevis,Spermacoce,Rubiaceae,,,yes,yes,Spermacoce laevis Lam.,Spermacoce laevis,Lam.,Rubiaceae,Spermacoce,Rubiaceae,Spermacoce,Accepted,Spermacoce laevis,Spermacoce laevis Lam.,Spermacoce_laevis,Spermacoce_laevis,Angiosperms
Spermacoce latifolia,Spermacoce,Rubiaceae,Spermacoce alata,,yes,yes,Spermacoce latifolia Aubl.,Spermacoce latifolia,Aubl.,Rubiaceae,Spermacoce,Rubiaceae,Spermacoce,Accepted,Spermacoce alata,Spermacoce alata Aubl.,Spermacoce_alata,Spermacoce_latifolia,Angiosperms
Sphenoclea zeylanica,Sphenoclea,Sphenocleaceae,,,yes,yes,Sphenoclea zeylanica Gaertn.,Sphenoclea zeylanica,Gaertn.,Sphenocleaceae,Sphenoclea,Sphenocleaceae,Sphenoclea,Accepted,Sphenoclea zeylanica,Sphenoclea zeylanica Gaertn.,Sphenoclea_zeylanica,Sphenoclea_zeylanica,Angiosperms
Spigelia anthelmia,Spigelia,Loganiaceae,,,yes,yes,Spigelia anthelmia L.,Spigelia anthelmia,L.,Loganiaceae,Spigelia,Loganiaceae,Spigelia,Accepted,Spigelia anthelmia,Spigelia anthelmia L.,Spigelia_anthelmia,Spigelia_anthelmia,Angiosperms
Stachytarpheta indica,Stachytarpheta,Verbenaceae,,,yes,yes,Stachytarpheta indica (L.) Vahl,Stachytarpheta indica,(L.) Vahl,Verbenaceae,Stachytarpheta,Verbenaceae,Stachytarpheta,Accepted,Stachytarpheta indica,Stachytarpheta indica (L.) Vahl,Stachytarpheta_indica,Stachytarpheta_indica,Angiosperms
Swietenia mahagoni,Swietenia,Meliaceae,,,yes,yes,Swietenia mahagoni (L.) Jacq.,Swietenia mahagoni,(L.) Jacq.,Meliaceae,Swietenia,Meliaceae,Swietenia,Accepted,Swietenia mahagoni,Swietenia mahagoni (L.) Jacq.,Swietenia_mahagoni,Swietenia_mahagoni,Angiosperms
Syzygium cumini,Syzygium,Myrtaceae,,,yes,yes,Syzygium cumini (L.) Skeels,Syzygium cumini,(L.) Skeels,Myrtaceae,Syzygium,Myrtaceae,Syzygium,Accepted,Syzygium cumini,Syzygium cumini (L.) Skeels,Syzygium_cumini,Syzygium_cumini,Angiosperms
