name_corrected,alpha_3,region,sub_region,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,rgbif.details_speciesKey,isInvasive,GRIIS.scientificName,GRIIS.reportedTaxon,GRIIS.reportedTaxon_rgbif_corrected,GRIIS.habitats,GRIIS.recordIDs
Bangladesh,BGD,Asia,Southern Asia,Mimosa pudica L.,Mimosa pudica,L.,Fabaceae,Mimosa,Leguminosae,Mimosa,Accepted,Mimosa pudica,Mimosa pudica L.,Mimosa_pudica,Mimosa_pudica,2969284,INVASIVE,Mimosa pudica L.,Mimosa pudica L.,Mimosa pudica L.,TERRESTRIAL,61377
Bangladesh,BGD,Asia,Southern Asia,Opuntia monacantha (Willd.) Haw.,Opuntia monacantha,(Willd.) Haw.,Cactaceae,Opuntia,Cactaceae,Opuntia,Accepted,Opuntia monacantha,Opuntia monacantha (Willd.) Haw.,Opuntia_monacantha,Opuntia_monacantha,5384142,INVASIVE,Opuntia monacantha (Willd.) Haw.,Opuntia monacantha (Willd.) Haw.,Opuntia monacantha (Willd.) Haw.,TERRESTRIAL,66783
Bangladesh,BGD,Asia,Southern Asia,Parthenium hysterophorus L.,Parthenium hysterophorus,L.,Asteraceae,Parthenium,Compositae,Parthenium,Accepted,Parthenium hysterophorus,Parthenium hysterophorus L.,Parthenium_hysterophorus,Parthenium_hysterophorus,3086784,INVASIVE,Parthenium hysterophorus L.,Parthenium hysterophorus L.,Parthenium hysterophorus L.,TERRESTRIAL,69810
Bangladesh,BGD,Asia,Southern Asia,Paspalum distichum L.,Paspalum distichum,L.,Poaceae,Paspalum,Poaceae,Paspalum,Accepted,Paspalum distichum,Paspalum distichum L.,Paspalum_distichum,Paspalum_distichum,2705622,INVASIVE,Paspalum distichum L.,Paspalum distichum L.,Paspalum distichum L.,TERRESTRIAL,70065
Bangladesh,BGD,Asia,Southern Asia,Pontederia crassipes Mart.,Pontederia crassipes,Mart.,Pontederiaceae,Pontederia,Pontederiaceae,Eichhornia,Accepted,Eichhornia crassipes,Eichhornia crassipes (Mart.) Solms,Eichhornia_crassipes,Pontederia_crassipes,2765942,INVASIVE,Eichhornia crassipes Solms,Eichhornia crassipes Solms,Eichhornia crassipes Solms,FRESHWATER,36203
Bangladesh,BGD,Asia,Southern Asia,Senna occidentalis (L.) Link,Senna occidentalis,(L.) Link,Fabaceae,Senna,Leguminosae,Senna,Accepted,Senna occidentalis,Senna occidentalis (L.) Link,Senna_occidentalis,Senna_occidentalis,2957966,INVASIVE,Senna occidentalis (L.) Link,Senna occidentalis (L.) Link,Senna occidentalis (L.) Link,TERRESTRIAL,86899
Bhutan,BTN,Asia,Southern Asia,Ageratina adenophora (Spreng.) R.King & H.Rob.,Ageratina adenophora,(Spreng.) R.King & H.Rob.,Asteraceae,Ageratina,Compositae,Ageratina,Accepted,Ageratina adenophora,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina_adenophora,Ageratina_adenophora,5400613,INVASIVE,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina adenophora (Spreng.) R.M.King & H.Rob.,TERRESTRIAL,3993
Bhutan,BTN,Asia,Southern Asia,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Cenchrus clandestinus,(Hochst. ex Chiov.) Morrone,Poaceae,Cenchrus,Poaceae,Cenchrus,Unresolved,Cenchrus clandestinus,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Cenchrus_clandestinus,Cenchrus_clandestinus,5828201,INVASIVE,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,Pennisetum clandestinum Hochst. ex Chiov.,Pennisetum clandestinum Hochst. ex Chiov.,TERRESTRIAL,71067
Bhutan,BTN,Asia,Southern Asia,Lantana camara L.,Lantana camara,L.,Verbenaceae,Lantana,Verbenaceae,Lantana,Accepted,Lantana camara,Lantana camara L.,Lantana_camara,Lantana_camara,2925303,INVASIVE,Lantana camara L.,Lantana camara L.,Lantana camara L.,TERRESTRIAL,52858
Bhutan,BTN,Asia,Southern Asia,Mikania micrantha Kunth,Mikania micrantha,Kunth,Asteraceae,Mikania,Compositae,Mikania,Accepted,Mikania micrantha,Mikania micrantha Kunth,Mikania_micrantha,Mikania_micrantha,5398421,INVASIVE,Mikania micrantha Kunth,Mikania micrantha Kunth,Mikania micrantha Kunth,TERRESTRIAL,61166
